-24T13:34:08.541Z] "GET /.env HTTP/1.1" 301 - 0 0 0 - 128.199.160.152 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.47 Safari/537.36" ? ?IP? -
[2022-01-24T13:41:01.375Z] "GET /owa/auth/x.js HTTP/1.1" 301 - 0 0 0 - 192.241.211.102 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-24T13:44:34.015Z] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 301 - 0 0 0 - 192.241.209.153 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-24T16:04:21.673Z] "GET / HTTP/1.1" 301 - 0 0 0 - 81.39.100.157 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-24T20:02:01.370Z] "GET / HTTP/1.1" 301 - 0 0 0 - 68.170.37.133 "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N910F Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" ? ?:? -
[2022-01-24T21:42:38.331Z] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 301 - 0 0 0 - 192.241.204.195 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-25T01:30:38.107Z] "HEAD / HTTP/1.1" 301 - 0 0 0 - 149.129.241.118 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2226.0 Safari/537.36" ? voice.dt-bd.com -
[2022-01-25T02:08:11.314Z] "GET / HTTP/1.1" 301 - 0 0 0 - 72.194.20.254 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0" ? ?:? -
[2022-01-25T02:08:17.611Z] "GET / HTTP/1.1" 301 - 0 0 0 - 205.215.29.239 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" ? ?:? -
[2022-01-25T04:24:48.330Z] "GET / HTTP/1.1" 301 - 0 0 0 - 164.90.201.224 "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)" ? ?IP? -
[2022-01-25T05:38:02.725Z] "GET / HTTP/1.1" 301 - 0 0 0 - 192.241.210.230 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-25T06:23:50.184Z] "GET / HTTP/1.1" 301 - 0 0 0 - 131.153.142.170 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:95.0) Gecko/20100101 Firefox/95.0" ? ?IP? -
[2022-01-25T08:06:08.902Z] "GET /8xJb HTTP/1.1" 400 - 0 0 0 - - - - - -
[2022-01-25T08:13:23.099Z] "GET / HTTP/1.1" 301 - 0 0 0 - 213.123.136.151 "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0; MDDCJS)" ? ?:? -
[2022-01-25T10:48:48.461Z] "GET / HTTP/1.1" 301 - 0 0 0 - 217.146.82.22 "Opera/3.0 (X11; Linux x86_64 4.0; rv:2.0.1) Gecko/20100101 Firefox/4.0.4" ? ?IP? -
[2022-01-25T11:27:42.364Z] "GET /?q=%lingier%&va=b&t=hc&ia=web HTTP/1.0" 426 - 0 0 0 - - - - ?IP? -
[2022-01-25T12:07:26.199Z] "GET / HTTP/1.1" 301 - 0 0 0 - 130.211.54.158 python-requests/2.27.1 ? ?IP? -
[2022-01-25T13:40:55.468Z] "GET /owa/auth/x.js HTTP/1.1" 301 - 0 0 0 - 192.241.211.165 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-25T13:46:37.082Z] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 301 - 0 0 0 - 192.241.211.11 "Mozilla/5.0 zgrab/0.x" ? ?IP? -
[2022-01-25T13:49:48.559Z] "GET /.env HTTP/1.1" 301 - 0 0 0 - 103.28.70.140 "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30" ? ?IP? -
